Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
Cote d'Ivoire,CIV,2019.0,16175.204,1524.425,2084.0222,7232.046,1317.2362,6214.203,2352.0571,22315.05,8032.189,12561.194,42.608467,1383.071,6480.603,9521.997,8152.095,4310.8706,505.94183,583.7512,141.92775,1342.4746,1258.8928,545.3899,681.8491,5808.064,4002.7305,46047.094
Croatia,HRV,2019.0,14717.677,4472.956,2641.795,2929.084,794.76953,8.153544,1500.095,42.135666,2.480431,171.12515,822.39056,674.96783,9639.795,9286.755,7659.4966,1.4288522,131.87419,712.11804,0.013423055,0.18688524,0.5679491,0.18295404,1042.3314,6.0284753,6857.6084,6631.20285
Cuba,CUB,2019.0,19437.953,1821.6107,4112.253,4568.5527,1112.9888,198.6027,2176.702,127.51742,74.54422,988.9597,323.90842,1010.5515,19989.672,15658.205,11920.475,68.56604,194.70525,2007.69,0.024432113,1.9927536,7.262607,6.94494,3400.5127,455.17236,9590.654,12189.02244
Cyprus,CYP,2019.0,1835.0299,142.29185,392.84366,333.4038,102.16953,1.0331752,160.09152,19.952633,6.7369995,33.360325,27.598785,95.55436,1534.8259,1605.9204,802.4246,0.4422155,29.749779,98.991066,0.00032462383,0.013264075,0.10506445,0.028420936,209.72176,2.0514457,864.0747,872.1076041
Czechia,CZE,2019.0,24817.004,8719.071,5058.175,6728.053,2469.0996,56.689648,2389.681,99.70159,125.92521,464.97488,1928.5782,1822.5983,20716.18,23554.959,17453.227,4.1791086,663.2956,1067.5756,0.019755423,0.43604156,2.322365,0.3457855,2925.8394,32.937004,16348.862,12942.00016
Democratic Republic of Congo,COD,2019.0,59047.15,2525.7058,5984.0312,15683.752,6645.623,29153.387,2185.1926,36752.473,28884.955,13468.72,418.13776,6353.022,15716.788,33939.324,20749.781,20656.879,768.77014,2597.1467,1569.8309,4197.3843,4072.537,2265.0618,2648.2478,21535.201,13180.994,138600.58899999998
Denmark,DNK,2019.0,8695.294,646.98517,1774.2692,3523.7463,503.96332,9.6945715,717.595,88.58653,50.497803,207.33786,369.19586,366.03854,12728.48,5281.4834,4127.8564,4.725083,458.15533,567.57733,0.0026478285,0.085540205,0.8123402,0.10647435,1110.9467,30.415485,3793.1116,2766.7928458
Djibouti,DJI,2019.0,827.5981,128.15822,127.03797,90.27606,138.57257,264.4029,115.87223,511.1207,460.33875,950.4227,55.27066,71.921646,491.3395,467.2852,359.5428,187.49977,14.430959,38.5895,4.077129,48.500256,46.247337,24.07324,14.469617,227.59459,198.49893,1312.424
Dominica,DMA,2019.0,152.91293,13.320288,29.054426,31.621817,0.6413654,1.3973937,7.850223,8.749528,2.7225811,11.5453615,0.7735322,6.3406806,41.441536,137.91351,114.88859,0.44459766,1.3100616,2.9441757,0.0009759357,0.08482795,0.2424072,0.14136449,19.361366,2.7320945,35.33801,73.9274153
Dominican Republic,DOM,2019.0,15594.956,1334.673,2788.9778,3722.0596,268.96564,450.09103,998.9693,2921.0176,673.4495,1766.1423,116.18486,1324.3938,8202.459,9384.846,9133.752,153.15111,244.02507,386.84256,1.7379514,23.464191,108.53458,38.272507,2369.8848,454.35223,7467.2593,9503.6014
